VariableName,Code,CodeCategory,CodeType,Description,CareSetting,MinimumGap,MaximumGap
Lung cancer,162.2,DX,9,Malignant neoplasm of main bronchus,NA,,
Lung cancer,162.3,DX,9,"Malignant neoplasm of upper lobe, bronchus or lung",NA,,
Lung cancer,162.4,DX,9,"Malignant neoplasm of middle lobe, bronchus or lung",NA,,
Lung cancer,162.5,DX,9,"Malignant neoplasm of lower lobe, bronchus or lung",NA,,
Lung cancer,162.8,DX,9,Malignant neoplasm of other parts of bronchus or lung,NA,,
Lung cancer,162.9,DX,9,"Malignant neoplasm of bronchus and lung, unspecified",NA,,
Lung cancer,C34.00,DX,10,Malignant neoplasm of unspecified main bronchus,NA,,
Lung cancer,C34.01,DX,10,Malignant neoplasm of right main bronchus,NA,,
Lung cancer,C34.02,DX,10,Malignant neoplasm of left main bronchus,NA,,
Lung cancer,C34.10,DX,10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",NA,,
Lung cancer,C34.11,DX,10,"Malignant neoplasm of upper lobe, right bronchus or lung",NA,,
Lung cancer,C34.12,DX,10,"Malignant neoplasm of upper lobe, left bronchus or lung",NA,,
Lung cancer,C34.2,DX,10,"Malignant neoplasm of middle lobe, bronchus or lung",NA,,
Lung cancer,C34.30,DX,10,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",NA,,
Lung cancer,C34.31,DX,10,"Malignant neoplasm of lower lobe, right bronchus or lung",NA,,
Lung cancer,C34.32,DX,10,"Malignant neoplasm of lower lobe, left bronchus or lung",NA,,
Lung cancer,C34.80,DX,10,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,NA,,
Lung cancer,C34.81,DX,10,Malignant neoplasm of overlapping sites of right bronchus and lung,NA,,
Lung cancer,C34.82,DX,10,Malignant neoplasm of overlapping sites of left bronchus and lung,NA,,
Lung cancer,C34.90,DX,10,Malignant neoplasm of unspecified part of unspecified bronchus or lung,NA,,
Lung cancer,C34.91,DX,10,Malignant neoplasm of unspecified part of right bronchus or lung,NA,,
Lung cancer,C34.92,DX,10,Malignant neoplasm of unspecified part of left bronchus or lung,NA,,
Lung cancer,C39.9,DX,10,"Malignant neoplasm of lower respiratory tract, part unspecified",NA,,
Primary malignancy,140.0,DX,9,"Malignant neoplasm of upper lip, vermilion border",NA,,
Primary malignancy,140.1,DX,9,"Malignant neoplasm of lower lip, vermilion border",NA,,
Primary malignancy,140.3,DX,9,"Malignant neoplasm of upper lip, inner aspect",NA,,
Primary malignancy,140.4,DX,9,"Malignant neoplasm of lower lip, inner aspect",NA,,
Primary malignancy,140.5,DX,9,"Malignant neoplasm of lip, unspecified, inner aspect",NA,,
Primary malignancy,140.6,DX,9,Malignant neoplasm of commissure of lip,NA,,
Primary malignancy,140.8,DX,9,Malignant neoplasm of other sites of lip,NA,,
Primary malignancy,140.9,DX,9,"Malignant neoplasm of lip, unspecified, vermilion border",NA,,
Primary malignancy,141.0,DX,9,Malignant neoplasm of base of tongue,NA,,
Primary malignancy,141.1,DX,9,Malignant neoplasm of dorsal surface of tongue,NA,,
Primary malignancy,141.2,DX,9,Malignant neoplasm of tip and lateral border of tongue,NA,,
Primary malignancy,141.3,DX,9,Malignant neoplasm of ventral surface of tongue,NA,,
Primary malignancy,141.4,DX,9,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",NA,,
Primary malignancy,141.5,DX,9,Malignant neoplasm of junctional zone of tongue,NA,,
Primary malignancy,141.6,DX,9,Malignant neoplasm of lingual tonsil,NA,,
Primary malignancy,141.8,DX,9,Malignant neoplasm of other sites of tongue,NA,,
Primary malignancy,141.9,DX,9,"Malignant neoplasm of tongue, unspecified",NA,,
Primary malignancy,142.0,DX,9,Malignant neoplasm of parotid gland,NA,,
Primary malignancy,142.1,DX,9,Malignant neoplasm of submandibular gland,NA,,
Primary malignancy,142.2,DX,9,Malignant neoplasm of sublingual gland,NA,,
Primary malignancy,142.8,DX,9,Malignant neoplasm of other major salivary glands,NA,,
Primary malignancy,142.9,DX,9,"Malignant neoplasm of salivary gland, unspecified",NA,,
Primary malignancy,143.0,DX,9,Malignant neoplasm of upper gum,NA,,
Primary malignancy,143.1,DX,9,Malignant neoplasm of lower gum,NA,,
Primary malignancy,143.8,DX,9,Malignant neoplasm of other sites of gum,NA,,
Primary malignancy,143.9,DX,9,"Malignant neoplasm of gum, unspecified",NA,,
Primary malignancy,144.0,DX,9,Malignant neoplasm of anterior portion of floor of mouth,NA,,
Primary malignancy,144.1,DX,9,Malignant neoplasm of lateral portion of floor of mouth,NA,,
Primary malignancy,144.8,DX,9,Malignant neoplasm of other sites of floor of mouth,NA,,
Primary malignancy,144.9,DX,9,"Malignant neoplasm of floor of mouth, part unspecified",NA,,
Primary malignancy,145.0,DX,9,Malignant neoplasm of cheek mucosa,NA,,
Primary malignancy,145.1,DX,9,Malignant neoplasm of vestibule of mouth,NA,,
Primary malignancy,145.2,DX,9,Malignant neoplasm of hard palate,NA,,
Primary malignancy,145.3,DX,9,Malignant neoplasm of soft palate,NA,,
Primary malignancy,145.4,DX,9,Malignant neoplasm of uvula,NA,,
Primary malignancy,145.5,DX,9,"Malignant neoplasm of palate, unspecified",NA,,
Primary malignancy,145.6,DX,9,Malignant neoplasm of retromolar area,NA,,
Primary malignancy,145.8,DX,9,Malignant neoplasm of other specified parts of mouth,NA,,
Primary malignancy,145.9,DX,9,"Malignant neoplasm of mouth, unspecified",NA,,
Primary malignancy,146.0,DX,9,Malignant neoplasm of tonsil,NA,,
Primary malignancy,146.1,DX,9,Malignant neoplasm of tonsillar fossa,NA,,
Primary malignancy,146.2,DX,9,Malignant neoplasm of tonsillar pillars (anterior) (posterior),NA,,
Primary malignancy,146.3,DX,9,Malignant neoplasm of vallecula epiglottica,NA,,
Primary malignancy,146.4,DX,9,Malignant neoplasm of anterior aspect of epiglottis,NA,,
Primary malignancy,146.5,DX,9,Malignant neoplasm of junctional region of oropharynx,NA,,
Primary malignancy,146.6,DX,9,Malignant neoplasm of lateral wall of oropharynx,NA,,
Primary malignancy,146.7,DX,9,Malignant neoplasm of posterior wall of oropharynx,NA,,
Primary malignancy,146.8,DX,9,Malignant neoplasm of other specified sites of oropharynx,NA,,
Primary malignancy,146.9,DX,9,"Malignant neoplasm of oropharynx, unspecified site",NA,,
Primary malignancy,147.0,DX,9,Malignant neoplasm of superior wall of nasopharynx,NA,,
Primary malignancy,147.1,DX,9,Malignant neoplasm of posterior wall of nasopharynx,NA,,
Primary malignancy,147.2,DX,9,Malignant neoplasm of lateral wall of nasopharynx,NA,,
Primary malignancy,147.3,DX,9,Malignant neoplasm of anterior wall of nasopharynx,NA,,
Primary malignancy,147.8,DX,9,Malignant neoplasm of other specified sites of nasopharynx,NA,,
Primary malignancy,147.9,DX,9,"Malignant neoplasm of nasopharynx, unspecified site",NA,,
Primary malignancy,148.0,DX,9,Malignant neoplasm of postcricoid region of hypopharynx,NA,,
Primary malignancy,148.1,DX,9,Malignant neoplasm of pyriform sinus,NA,,
Primary malignancy,148.2,DX,9,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",NA,,
Primary malignancy,148.3,DX,9,Malignant neoplasm of posterior hypopharyngeal wall,NA,,
Primary malignancy,148.8,DX,9,Malignant neoplasm of other specified sites of hypopharynx,NA,,
Primary malignancy,148.9,DX,9,"Malignant neoplasm of hypopharynx, unspecified site",NA,,
Primary malignancy,149.0,DX,9,"Malignant neoplasm of pharynx, unspecified",NA,,
Primary malignancy,149.1,DX,9,Malignant neoplasm of waldeyer's ring,NA,,
Primary malignancy,149.8,DX,9,Malignant neoplasm of other sites within the lip and oral cavity,NA,,
Primary malignancy,149.9,DX,9,Malignant neoplasm of ill-defined sites within the lip and oral cavity,NA,,
Primary malignancy,150.0,DX,9,Malignant neoplasm of cervical esophagus,NA,,
Primary malignancy,150.1,DX,9,Malignant neoplasm of thoracic esophagus,NA,,
Primary malignancy,150.2,DX,9,Malignant neoplasm of abdominal esophagus,NA,,
Primary malignancy,150.3,DX,9,Malignant neoplasm of upper third of esophagus,NA,,
Primary malignancy,150.4,DX,9,Malignant neoplasm of middle third of esophagus,NA,,
Primary malignancy,150.5,DX,9,Malignant neoplasm of lower third of esophagus,NA,,
Primary malignancy,150.8,DX,9,Malignant neoplasm of other specified part of esophagus,NA,,
Primary malignancy,150.9,DX,9,"Malignant neoplasm of esophagus, unspecified site",NA,,
Primary malignancy,151.0,DX,9,Malignant neoplasm of cardia,NA,,
Primary malignancy,151.1,DX,9,Malignant neoplasm of pylorus,NA,,
Primary malignancy,151.2,DX,9,Malignant neoplasm of pyloric antrum,NA,,
Primary malignancy,151.3,DX,9,Malignant neoplasm of fundus of stomach,NA,,
Primary malignancy,151.4,DX,9,Malignant neoplasm of body of stomach,NA,,
Primary malignancy,151.5,DX,9,"Malignant neoplasm of lesser curvature of stomach, unspecified",NA,,
Primary malignancy,151.6,DX,9,"Malignant neoplasm of greater curvature of stomach, unspecified",NA,,
Primary malignancy,151.8,DX,9,Malignant neoplasm of other specified sites of stomach,NA,,
Primary malignancy,151.9,DX,9,"Malignant neoplasm of stomach, unspecified site",NA,,
Primary malignancy,152.0,DX,9,Malignant neoplasm of duodenum,NA,,
Primary malignancy,152.1,DX,9,Malignant neoplasm of jejunum,NA,,
Primary malignancy,152.2,DX,9,Malignant neoplasm of ileum,NA,,
Primary malignancy,152.3,DX,9,Malignant neoplasm of Meckel's diverticulum,NA,,
Primary malignancy,152.8,DX,9,Malignant neoplasm of other specified sites of small intestine,NA,,
Primary malignancy,152.9,DX,9,"Malignant neoplasm of small intestine, unspecified site",NA,,
Primary malignancy,153.0,DX,9,Malignant neoplasm of hepatic flexure,NA,,
Primary malignancy,153.1,DX,9,Malignant neoplasm of transverse colon,NA,,
Primary malignancy,153.2,DX,9,Malignant neoplasm of descending colon,NA,,
Primary malignancy,153.3,DX,9,Malignant neoplasm of sigmoid colon,NA,,
Primary malignancy,153.4,DX,9,Malignant neoplasm of cecum,NA,,
